Fecha,Hora,Temperatura (Índice de Calor),Humedad (%),Monoxido de Carbono (CO),Amoniaco (ppm),Oxigeno (%),Monoxido de Carbono,Dioxido de Carbono (CO2),Temperatura Bulbo Seco
03/03/2025,13:00,34.6,35.7,0,0,20.9,0,402,32.1
03/03/2025,14:00,32.1,22,0,0,20.9,0,402,32.8
03/03/2025,15:00,32.1,31.4,0,0,20.9,0,401,33
03/03/2025,16:00,30.2,20.6,0,0,20.9,0,402,32.3
03/03/2025,17:00,30.3,24.2,0,0,20.9,0,403,31.7
03/03/2025,18:00,29.2,29.7,0,0,20.9,0,408,29.6
03/03/2025,19:00,30.2,40.8,0,0,20.9,0,404,29.1
03/03/2025,20:00,29.8,38,0,0,20.9,0,406,29.7
03/03/2025,21:00,29.2,39.5,0,0,20.9,0,408,29
03/03/2025,22:00,28.1,42.2,0,0,20.9,0,407,27.9
03/03/2025,23:00,29.8,40.9,0,0,20.9,0,401,29.9
03/03/2025,24:00:00,28,43,0,0,20.9,0,405,28.7
04/03/2025,01:00,28.8,41.3,0,0,20.9,0,407,29.1
04/03/2025,02:00,28.7,45.1,0,0,20.9,0,403,28.2
04/03/2025,03:00,28.9,43,0,0,20.9,0,408,28.5
04/03/2025,04:00,28.6,42.7,0,0,20.9,0,404,27.7
04/03/2025,05:00,28.8,49.7,0,0,20.9,0,409,28.2
04/03/2025,06:00,27.4,47.3,0,0,20.9,0,404,27
04/03/2025,07:00,27.1,44,0,0,20.9,0,409,26.4
04/03/2025,08:00,30.8,31.2,0,0,20.9,0,404,29.3
04/03/2025,09:00,31.9,58.5,0,0,20.9,0,403,28.4
04/03/2025,10:00,31.4,40.1,0,0,20.9,0,404,30.5
04/03/2025,11:00,0,0,0,0,20.9,0,0,0
04/03/2025,12:00,32.7,30.7,0,0,20.9,0,405,31.2
04/03/2025,13:00,31.5,34.1,0,20.9,407,32,,
04/03/2025,14:00,34.7,29.2,0,20.9,406,32.6,,
04/03/2025,15:00,32,25.7,0,20.9,404,32.7,,
04/03/2025,16:00,30,24,0,20.9,403,32.6,,
04/03/2025,17:00,29.1,18.8,0,20.9,403,31.4,,
04/03/2025,18:00,29.7,20,0,20.9,407,29.9,,
04/03/2025,19:00,29.4,33.3,0,20.9,406,29.2,,
04/03/2025,20:00,27.3,34.4,0,20.9,406,27.6,,
04/03/2025,21:00,28.6,39.3,0,20.9,409,28.9,,
04/03/2025,22:00,28.1,43.1,0,20.9,404,28.8,,
04/03/2025,23:00,28,44.7,0,20.9,408,27.5,,
04/03/2025,24:00:00,26.7,39.1,0,20.9,403,26.8,,
05/03/2025,01:00,27.4,38.2,0,20.9,407,26.9,,
05/03/2025,02:00,27,37.3,0,20.9,405,26.8,,
05/03/2025,03:00,26.6,39.6,0,20.9,408,26.9,,
05/03/2025,04:00,28,40.5,0,20.9,410,26.4,,
05/03/2025,05:00,28.2,38.5,0,20.9,402,27.4,,
05/03/2025,06:00,28.8,45,0,20.9,407,28.4,,
05/03/2025,07:00,28.1,44,0,20.9,411,28.1,,
05/03/2025,08:00,29.1,45.7,0,20.9,407,28.3,,
05/03/2025,09:00,30.9,45.1,0,20.9,406,28.3,,
05/03/2025,10:00,29.4,42.6,0,20.9,408,28.9,,
05/03/2025,11:00,29.8,41.1,0,20.9,405,29.2,,
05/03/2025,12:00,30.2,37.5,0,20.9,405,29.5,,
05/03/2025,13:00,28.9,45.7,0,0,20.9,402,30.2,
05/03/2025,14:00,29.5,32.5,0,0,20.9,405,30.9,
05/03/2025,15:00,29.6,33.7,0,0,20.9,401,29.9,
05/03/2025,16:00,27.9,35.9,0,0,20.9,405,29.7,
05/03/2025,17:00,28.3,35.5,0,0,20.9,409,29,
05/03/2025,18:00,27.6,36.7,0,0,20.9,401,28.11,
05/03/2025,19:00,27.3,43.2,0,0,20.9,407,28.4,
05/03/2025,20:00,27.7,42.8,0,0,20.9,410,28,
05/03/2025,21:00,29.5,44.7,0,0,20.9,404,27.6,
05/03/2025,22:00,27.1,42.3,0,0,20.9,409,27.5,
05/03/2025,23:00,27.7,43.3,0,0,20.9,408,28.3,
05/03/2025,24:00:00,27.7,45.2,0,0,20.9,410,28.11,
06/03/2025,01:00,27.3,47,0,0,20.9,408,27.1,
06/03/2025,02:00,27.3,45.1,0,0,20.9,410,27.3,
06/03/2025,03:00,28.5,48.1,0,0,20.9,407,27.4,
06/03/2025,04:00,26.9,49.8,0,0,20.9,406,26.8,
06/03/2025,05:00,26.7,49.4,0,0,20.9,404,26.8,
06/03/2025,06:00,27.1,49.2,0,0,20.9,406,26.2,
06/03/2025,07:00,28.1,48.5,0,0,20.9,412,28.7,
06/03/2025,08:00,0,0,0,0,20.9,404,26.5,
06/03/2025,09:00,26.5,52.5,0,0,20.9,402,28.4,
06/03/2025,10:00,28.4,43.7,0,0,20.9,404,28.3,
06/03/2025,11:00,29.2,44.9,0,0,20.9,406,29.7,
06/03/2025,12:00,29.7,33.5,0,0,20.9,405,30.4,
06/03/2025,13:00,29.8,30.6,0,0,20.9,209,405,32
06/03/2025,14:00,30.1,32.6,0,0,20.9,209,404,32.4
06/03/2025,15:00,31.1,37.6,0,0,20.9,209,406,33.5
06/03/2025,16:00,28.6,25.8,0,0,20.7,209,404,30.1
06/03/2025,17:00,28.2,29.1,0,0,20.9,209,404,29.3
06/03/2025,18:00,27.6,27,0,0,20.9,209,406,28.4
06/03/2025,19:00,26.6,30.2,0,0,20.9,209,405,28.3
06/03/2025,20:00,28.1,34.2,0,0,20.9,209,401,28.9
06/03/2025,21:00,27.6,36.2,0,0,20.9,209,405,28.9
06/03/2025,22:00,27.4,33.6,0,0,20.9,209,405,28.3
06/03/2025,23:00,26.5,44.2,0,0,20.9,209,413,27.9
06/03/2025,24:00:00,28,42.2,0,0,20.9,209,403,27.6
07/03/2025,01:00,27.4,44.3,0,0,20.9,209,403,28.2
07/03/2025,02:00,27.8,46.3,0,0,20.9,209,405,28.2
07/03/2025,03:00,28.6,49.7,0,0,21,209,408,27.3
07/03/2025,04:00,28.3,46.6,0,0,20.9,209,402,25.1
07/03/2025,05:00,27.6,44.4,0,0,20.9,209,407,25.5
07/03/2025,06:00,26,42.7,0,0,20.7,209,405,27.8
07/03/2025,07:00,25.4,45.3,0,0,20.9,209,405,27.8
07/03/2025,08:00,27.1,43.2,0,0,20.9,209,405,28.4
07/03/2025,09:00,28.2,43.2,0,0,20.9,209,401,28.4
07/03/2025,10:00,27.6,45.2,0,0,20.9,209,408,28.4
07/03/2025,11:00,27.7,43.3,0,0,20.9,209,412,28.4
07/03/2025,12:00,28.7,32.1,0,0,20.9,209,412,30
07/03/2025,13:00,29.7,21.6,0,0,20.9,,409,31.4
07/03/2025,14:00,29.8,22.1,0,0,20.9,,408,32.1
07/03/2025,15:00,29.9,17.6,0,0,20.9,,411,32.9
07/03/2025,16:00,29.1,17.3,0,0,20.9,,406,32.1
07/03/2025,17:00,28.3,18.4,0,0,20.9,,405,30
07/03/2025,18:00,27.1,22,0,0,20.9,,406,29.5
07/03/2025,19:00,25.7,26,0,0,20.9,,402,27.8
07/03/2025,20:00,25.7,32.2,0,0,20.9,,408,28.4
07/03/2025,21:00,27.1,35.1,0,0,20.9,,405,28.1
07/03/2025,22:00,25.6,29.4,0,0,20.9,,409,27.5
07/03/2025,23:00,27,37.7,0,0,20.9,,404,28.3
07/03/2025,24:00:00,26.7,41,0,0,20.9,,402,27.5
08/03/2025,01:00,25.5,41.9,0,0,20.9,,405,28.3
08/03/2025,02:00,27.1,42,0,0,20.9,,408,27.2
08/03/2025,03:00,26.8,41.8,0,0,20.9,,403,27.5
08/03/2025,04:00,26.6,40.4,0,0,20.9,,407,27
08/03/2025,05:00,26.7,41,0,0,20.9,,404,26.9
08/03/2025,06:00,27.4,41,0,0,20.9,,408,27.4
08/03/2025,07:00,27.8,47.1,0,0,20.9,,408,28.2
08/03/2025,08:00,28.7,43.3,0,0,20.9,,406,28.2
08/03/2025,09:00,28.6,42.1,0,0,20.9,,405,28.2
08/03/2025,10:00,28.4,46.1,0,0,20.9,,408,29.5
08/03/2025,11:00,28.5,48.8,0,0,20.9,,402,30
08/03/2025,12:00,28.4,40.4,0,0,20.7,,402,30
08/03/2025,13:00,30.1,31.1,0,0,20.9,401,31.7,
08/03/2025,14:00,30.5,21.1,0,0,20.9,405,32.4,
08/03/2025,15:00,30.5,21.8,0,0,20.9,408,32.7,
08/03/2025,16:00,29.7,20.6,0,0,20.9,407,32.4,
08/03/2025,17:00,27.9,21.8,0,0,20.9,404,29.5,
08/03/2025,18:00,27.1,22.8,0,0,20.9,412,27.5,
08/03/2025,19:00,25.6,29.8,0,0,20.9,407,27.4,
08/03/2025,20:00,26.1,37.3,0,0,20.9,407,27.4,
08/03/2025,21:00,26.3,42.5,0,0,20.9,408,26.8,
08/03/2025,22:00,26.8,46.8,0,0,20.9,402,26.4,
08/03/2025,23:00,26.6,47.4,0,0,20.9,408,26,
08/03/2025,24:00:00,25.6,45.3,0,0,20.9,405,26.4,
09/03/2025,01:00,25.6,40.5,0,0,20.9,406,26,
09/03/2025,02:00,26,47.4,0,0,20.9,406,25.9,
09/03/2025,03:00,26.5,46.4,0,0,20.9,402,26.3,
09/03/2025,04:00,26,47.5,0,0,20.9,408,26.2,
09/03/2025,05:00,28,47,0,0,20.9,403,27.6,
09/03/2025,06:00,27.1,50.5,0,0,20.9,406,26.9,
09/03/2025,07:00,26.4,51.3,0,0,20.9,407,25.7,
09/03/2025,08:00,27.2,41.8,0,0,20.9,404,27.1,
09/03/2025,09:00,27.1,44.8,0,0,20.9,405,29,
09/03/2025,10:00,27.1,46,0,0,20.9,407,29.1,
09/03/2025,11:00,27.7,47.2,0,0,20.9,405,30,
09/03/2025,13:00,27.7,25.5,0,0,20.9,409,30.4,
09/03/2025,14:00,29,29.2,0,0,20.9,408,31,
09/03/2025,15:00,31,27,0,0,20.9,405,33,
09/03/2025,16:00,30.6,22.5,0,0,20.9,403,32.7,
09/03/2025,17:00,28.9,20.2,0,0,20.9,403,31.6,
09/03/2025,18:00,26,38.1,0,0,20.9,408,28.3,
09/03/2025,19:00,25.4,36,0,0,20.9,407,26,
09/03/2025,20:00,26.1,46.4,0,0,20.9,408,26,
09/03/2025,21:00,26.4,42.2,0,0,20.9,404,26.2,
09/03/2025,22:00,27.1,49.9,0,0,20.9,403,26.1,
09/03/2025,23:00,26.4,49.9,0,0,20.9,408,26.2,
09/03/2025,24:00:00,25.1,49.2,0,0,20.9,402,25.1,
10/03/2025,01:00,24.4,45.9,0,0,20.9,405,25.3,
10/03/2025,02:00,24.8,46.2,0,0,20.9,401,25.4,
10/03/2025,03:00,25.2,46.9,0,0,20.9,406,27.1,
10/03/2025,04:00,26.9,47.2,0,0,20.9,409,26.1,
10/03/2025,05:00,27.2,47,0,0,20.9,405,26,
10/03/2025,06:00,26.2,47.1,0,0,20.9,403,26,
10/03/2025,07:00,25.7,48.5,0,0,20.9,408,26.1,
10/03/2025,08:00,none,,,,,,,
10/03/2025,09:00,none,,,,,,,
03/03/2025,13:00:00,34.6,35.7,0,20.9,402,32.2,,
03/03/2025,14:00:00,32.1,22,0,20.9,402,32.8,,
03/03/2025,15:00:00,32.1,31.4,0,20.9,401,33,,
03/03/2025,16:00:00,30.2,20.6,0,20.9,402,32.3,,
03/03/2025,17:00:00,30.3,24.2,0,20.9,403,31.6,,
03/03/2025,18:00:00,29.2,29.7,0,20.9,408,29.6,,
03/03/2025,19:00:00,30.2,40.8,0,20.9,404,29.1,,
03/03/2025,20:00:00,29.8,38,0,20.9,406,29.7,,
03/03/2025,21:00:00,29.2,39.5,0,20.9,408,29,,
03/03/2025,22:00:00,28.1,42.2,0,20.9,407,27.9,,
03/03/2025,23:00:00,29.8,40.9,0,20.9,401,29.9,,
04/03/2025,00:00:00,28,43,0,20.9,405,28.7,,
04/03/2025,01:00:00,28.8,41.3,0,20.9,407,29.1,,
04/03/2025,02:00:00,28.7,45.1,0,20.9,403,28.2,,
04/03/2025,03:00:00,28.9,43,0,20.9,408,28.5,,
04/03/2025,04:00:00,28.6,42.7,0,20.9,404,27.7,,
04/03/2025,05:00:00,28.8,49.7,0,20.9,409,28.2,,
04/03/2025,06:00:00,27.4,47.2,0,20.9,404,27,,
04/03/2025,07:00:00,27.1,44,0,20.9,409,26.4,,
04/03/2025,08:00:00,30.8,31.2,0,20.9,404,29.3,,
04/03/2025,09:00:00,31.9,58.5,0,20.9,403,28.4,,
04/03/2025,10:00:00,31.4,40.1,0,20.9,404,30.5,,
04/03/2025,11:00:00,,,,,,,,
04/03/2025,12:00:00,32.7,30.7,0,20.9,405,31.2,,
04/03/2025,13:00:00,31.5,34.1,0,20.9,407,32,,
04/03/2025,14:00:00,34.7,29.2,0,20.9,406,32.6,,
04/03/2025,15:00:00,32,25.7,0,20.9,404,32.7,,
04/03/2025,16:00:00,30,24,0,20.9,403,32.6,,
04/03/2025,17:00:00,29.1,18.8,0,20.9,403,31.4,,
04/03/2025,18:00:00,29.7,20,0,20.9,407,29.9,,
04/03/2025,19:00:00,29.4,33.3,0,20.9,406,29.2,,
04/03/2025,20:00:00,27.3,34.4,0,20.9,406,27.6,,
04/03/2025,21:00:00,28.6,39.3,0,20.9,409,28.9,,
04/03/2025,22:00:00,28.1,43.1,0,20.9,404,28.8,,
04/03/2025,23:00:00,28,44.7,0,20.9,408,27.5,,
05/03/2025,00:00:00,26.7,39.1,0,20.9,403,26.8,,
05/03/2025,01:00:00,27.4,38.2,0,20.9,407,26.9,,
05/03/2025,02:00:00,24,37.3,0,20.9,405,26.8,,
05/03/2025,03:00:00,26.6,39.6,0,20.9,408,26.4,,
05/03/2025,04:00:00,28,40.5,0,20.9,410,27.4,,
05/03/2025,05:00:00,28.2,38.5,0,20.9,402,28.4,,
05/03/2025,06:00:00,28.8,45,0,20.9,407,28.1,,
05/03/2025,07:00:00,28.1,44,0,20.9,411,27.7,,
05/03/2025,08:00:00,29.1,45.7,0,20.9,407,28.3,,
05/03/2025,09:00:00,30.9,45.1,0,20.9,406,28.3,,
05/03/2025,10:00:00,29.4,42.6,0,20.9,408,28.4,,
05/03/2025,11:00:00,29.8,41.1,0,20.9,405,29.2,,
05/03/2025,12:00:00,30.2,37.5,0,20.9,405,29.5,,
05/03/2025,13:00:00,28.9,45.7,0,20.9,402,30.2,,
05/03/2025,14:00:00,29.5,32.5,0,20.9,405,30.9,,
05/03/2025,15:00:00,29.6,33.7,0,20.9,401,29.9,,
05/03/2025,16:00:00,27.9,35.9,0,20.9,405,29.7,,
05/03/2025,17:00:00,28.3,35.5,0,20.9,409,29,,
05/03/2025,18:00:00,27.6,38.7,0,20.9,401,28.4,,
05/03/2025,19:00:00,27.3,43.2,0,20.9,407,28.4,,
05/03/2025,20:00:00,27.7,42.8,0,20.9,410,28,,
05/03/2025,21:00:00,29.5,44.7,0,20.9,404,27.6,,
05/03/2025,22:00:00,27.1,42.3,0,20.9,409,27.5,,
05/03/2025,23:00:00,27.7,43.3,0,20.9,408,28.3,,
06/03/2025,00:00:00,27.7,45.2,0,20.9,410,28.4,,
06/03/2025,01:00:00,27.3,47,0,20.9,408,27.1,,
06/03/2025,02:00:00,27.3,45.1,0,20.9,410,27.3,,
06/03/2025,03:00:00,28.5,48.1,0,20.9,407,27.4,,
06/03/2025,04:00:00,26.9,49.8,0,20.9,406,26.8,,
06/03/2025,05:00:00,26.7,49.4,0,20.9,404,26.8,,
06/03/2025,06:00:00,27.1,49.2,0,20.9,406,26.2,,
06/03/2025,07:00:00,28.1,48.5,0,20.9,412,28.7,,
06/03/2025,08:00:00,,,0,20.9,404,26.5,,
06/03/2025,09:00:00,26.5,52.3,0,20.9,402,28.4,,
06/03/2025,10:00:00,28.4,43.7,0,20.9,404,28.3,,
06/03/2025,11:00:00,29.2,44.9,0,20.9,406,29.7,,
06/03/2025,12:00:00,29.7,33.5,0,20.9,405,30.4,,
06/03/2025,13:00:00,29.8,30.6,0,20.9,405,32,,
06/03/2025,14:00:00,30.1,32.1,0,20.9,404,32.4,,
06/03/2025,15:00:00,31.1,32.6,0,20.9,406,33.5,,
06/03/2025,16:00:00,28.6,25.8,0,20.9,404,30.1,,
06/03/2025,17:00:00,28.2,29.1,0,20.9,410,29.7,,
06/03/2025,18:00:00,27.6,29,0,20.9,402,29.5,,
06/03/2025,19:00:00,26.6,30.2,0,20.9,405,28.6,,
06/03/2025,20:00:00,28.1,34.2,0,20.9,401,28.6,,
06/03/2025,21:00:00,27.6,34.4,0,20.9,405,28.3,,
06/03/2025,22:00:00,27.4,36.2,0,20.9,404,27.9,,
06/03/2025,23:00:00,26.5,33.6,0,20.9,405,27.9,,
07/03/2025,00:00:00,28,44.2,0,20.9,413,27.9,,
07/03/2025,01:00:00,27.4,42.2,0,20.9,403,27.6,,
07/03/2025,02:00:00,27.8,44.3,0,20.9,405,28,,
07/03/2025,03:00:00,28.6,46.3,0,20.9,408,28.2,,
07/03/2025,04:00:00,28.3,49.7,0,21,404,27.3,,
07/03/2025,05:00:00,27.6,46.6,0,20.9,401,27.3,,
07/03/2025,06:00:00,26,44.4,0,20.9,407,25.7,,
07/03/2025,07:00:00,25.4,42.2,0,20.9,405,25.5,,
07/03/2025,08:00:00,27.1,45.3,0,20.9,405,27,,
07/03/2025,09:00:00,28.2,43.2,0,20.9,401,28.8,,
07/03/2025,10:00:00,27.6,43.3,0,20.9,404,28.2,,
07/03/2025,11:00:00,27.7,45.6,0,20.9,408,29.4,,
07/03/2025,12:00:00,28.7,32.1,0,20.9,412,30.2,,
07/03/2025,13:00:00,29.7,21.6,0,20.9,409,31.4,,
07/03/2025,14:00:00,29.8,22.1,0,20.9,408,32.1,,
07/03/2025,15:00:00,29.9,18.6,0,209,411,32.9,,
07/03/2025,16:00:00,29.1,17.3,0,209,406,30.1,,
07/03/2025,17:00:00,28.3,18.4,0,209,405,30,,
07/03/2025,18:00:00,27.1,22,0,209,406,29.5,,
07/03/2025,19:00:00,25.7,26,0,209,412,27.8,,
07/03/2025,20:00:00,25.7,33.2,0,209,408,28.5,,
07/03/2025,21:00:00,27.1,35.1,0,209,405,26.4,,
07/03/2025,22:00:00,25.6,29.4,0,209,400,27.5,,
07/03/2025,23:00:00,27,37.7,0,209,401,28.3,,
08/03/2025,00:00:00,26.7,41,0,209,402,27.5,,
08/03/2025,01:00:00,25.5,41.9,0,209,405,26.2,,
08/03/2025,02:00:00,27.1,42,0,209,408,27.1,,
08/03/2025,03:00:00,26.8,41.8,0,209,403,27.5,,
08/03/2025,04:00:00,26.6,40.4,0,209,401,27,,
08/03/2025,05:00:00,26.7,41,0,209,402,26.9,,
08/03/2025,06:00:00,27.4,41,0,209,408,27.4,,
08/03/2025,07:00:00,27.8,47,0,209,408,28.2,,
08/03/2025,08:00:00,28.7,43.3,0,20.7,405,28.2,,
08/03/2025,09:00:00,28.6,42.1,0,20.8,403,28.1,,
08/03/2025,10:00:00,28.4,45,0,20.9,405,29.5,,
08/03/2025,11:00:00,28.3,48.8,0,20.8,408,30,,
08/03/2025,12:00:00,28.4,40.4,0,20.7,402,30,,
08/03/2025,13:00:00,30.1,31.1,0,20.9,404,31.7,,
08/03/2025,14:00:00,30.5,21.1,0,20.9,405,32.4,,
08/03/2025,15:00:00,30.5,21.8,0,20.9,408,32.7,,
08/03/2025,16:00:00,29.7,20.6,0,20.9,407,32.4,,
08/03/2025,17:00:00,27.9,21.8,0,20.9,404,30.6,,
08/03/2025,18:00:00,27.1,22.8,0,20.9,412,29.5,,
08/03/2025,19:00:00,25.6,29.8,0,20.9,407,27.5,,
08/03/2025,20:00:00,26.1,37.3,0,20.9,407,27.4,,
08/03/2025,21:00:00,26.3,42.5,0,20.9,407,26.3,,
08/03/2025,22:00:00,26.8,46.8,0,20.9,408,26.8,,
08/03/2025,23:00:00,26.6,47.4,0,20.9,402,26.4,,
09/03/2025,00:00:00,25.6,45.3,0,20.9,408,26,,
09/03/2025,01:00:00,25.6,40.5,0,20.9,405,26.4,,
09/03/2025,02:00:00,26,47.4,0,20.9,406,26,,
09/03/2025,03:00:00,26.5,46.4,0,20.9,406,25.9,,
09/03/2025,04:00:00,26,47.5,0,20.9,402,26.3,,
09/03/2025,05:00:00,26.4,47,0,20.9,408,26.2,,
09/03/2025,06:00:00,28,50.5,0,20.9,403,27.6,,
09/03/2025,07:00:00,27.1,51.3,0,20.9,406,26.9,,
09/03/2025,08:00:00,26.4,48.8,0,20.9,407,25.7,,
09/03/2025,09:00:00,27.2,44.8,0,20.9,404,27.1,,
09/03/2025,10:00:00,27.9,46,0,20.9,405,29,,
09/03/2025,11:00:00,27.4,47.2,0,20.9,409,29.1,,
09/03/2025,12:00:00,27.7,33.3,0,20.9,405,30,,
09/03/2025,13:00:00,27.7,25.5,0,20.9,409,30.4,,
09/03/2025,14:00:00,29,29.2,0,20.9,408,31,,
09/03/2025,15:00:00,31,21.8,0,20.9,405,33,,
09/03/2025,16:00:00,30.6,22.5,0,20.9,403,32.7,,
09/03/2025,17:00:00,28.9,20.2,0,20.9,403,31.6,,
09/03/2025,18:00:00,26,33,0,20.9,408,28.3,,
09/03/2025,19:00:00,25.4,38.1,0,20.9,407,26,,
09/03/2025,20:00:00,26.1,46.9,0,20.9,408,26.2,,
09/03/2025,21:00:00,26.4,46.1,0,20.9,404,26.1,,
09/03/2025,22:00:00,27.1,42.2,0,20.9,403,26.2,,
09/03/2025,23:00:00,26.4,49.9,0,20.9,408,26.8,,
10/03/2025,00:00:00,25.1,47.2,0,20.9,402,25.1,,
10/03/2025,01:00:00,24.4,45,0,20.9,405,25.2,,
